,Age,Gender,State,Category,Brand,Quantity,Price,Discount,Product Rating,high_return_risk
2025-04-11 21:36:09,18,Male,Madhya Pradesh,Sweaters,Puma,1,441.0,25,4.5,No
2025-04-11 21:36:09,50,Male,Manipur,Shorts,Raymond,2,923.0,15,2.5,No
2025-04-11 21:36:09,52,Male,Tripura,Sweaters,Pantaloons,6,615.0,15,4.5,Yes
2025-04-11 21:36:09,57,Male,Karnataka,Shirts,Zudio,2,675.0,30,2.5,Yes
2025-04-11 21:36:09,66,Male,Uttarakhand,Undergarments,Raymond,1,937.0,10,3.0,No
2025-04-11 21:36:09,59,Female,West Bengal,Trousers,Levie's,5,672.0,30,3.5,No
2025-04-11 21:36:09,32,Female,Manipur,Dresses,Nike,3,499.0,25,3.0,No
2025-04-11 21:36:09,60,Male,Rajasthan,T-shirts,Raymond,1,407.0,20,4.0,No
2025-04-11 21:36:09,70,Male,Telangana,Jackets,Pantaloons,6,968.0,15,2.0,Yes
2025-04-11 21:36:09,70,Female,Goa,Sleepwear,Pantaloons,2,738.0,20,2.0,Yes
2025-04-11 21:36:09,55,Female,Telangana,Sleepwear,Zudio,1,495.0,20,1.0,Yes
2025-04-11 21:36:09,56,Female,Tripura,Dresses,Pantaloons,1,872.0,30,4.0,No
2025-04-11 21:36:09,25,Female,Odisha,Dresses,Zudio,3,461.0,20,3.0,Yes
2025-04-11 21:36:09,46,Female,Meghalaya,Activewear,Levie's,5,495.0,25,5.0,No
2025-04-11 21:36:09,54,Male,Telangana,T-shirts,Levie's,7,600.0,30,3.0,No
2025-04-11 21:36:09,51,Male,Karnataka,Shirts,Adidas,5,518.0,10,4.5,Yes
2025-04-11 21:36:09,55,Female,Kerala,Formal Wear,Nike,2,811.0,20,1.5,Yes
2025-04-11 21:36:09,46,Male,Nagaland,Undergarments,Puma,3,525.0,20,2.0,No
2025-04-11 21:36:09,47,Female,Jharkhand,Jeans,Zudio,2,579.0,20,5.0,Yes
2025-04-11 21:36:09,54,Female,Madhya Pradesh,Shirts,Pantaloons,7,749.0,20,2.5,No
2025-04-11 21:36:09,63,Female,Madhya Pradesh,Skirts,Adidas,2,902.0,30,3.0,Yes
2025-04-11 21:36:09,39,Female,Uttarakhand,Sweaters,Adidas,1,818.0,25,2.0,Yes
2025-04-11 21:36:09,62,Male,Arunachal Pradesh,Shirts,Zudio,2,800.0,20,1.5,Yes
2025-04-11 21:36:09,70,Female,Goa,Ethnic Wear,Nike,1,813.0,15,4.0,Yes
2025-04-11 21:36:09,63,Male,Karnataka,Sleepwear,Puma,7,543.0,20,2.5,No
2025-04-11 21:36:09,52,Female,Madhya Pradesh,Trousers,Levie's,2,628.0,30,2.0,No
2025-04-11 21:36:09,26,Male,Punjab,Dresses,H&M,2,581.0,10,2.5,No
2025-04-11 21:36:09,60,Female,Karnataka,Sleepwear,H&M,5,490.0,25,4.0,Yes
2025-04-11 21:36:09,54,Female,Telangana,Dresses,Puma,2,752.0,30,3.0,No
2025-04-11 21:36:09,44,Male,Meghalaya,Skirts,Adidas,6,577.0,20,4.0,No
2025-04-11 21:36:09,65,Female,Haryana,T-shirts,Pantaloons,6,958.0,25,3.0,Yes
2025-04-11 21:36:09,61,Female,Goa,Shorts,H&M,1,870.0,10,3.0,Yes
2025-04-11 21:36:09,55,Female,Manipur,Activewear,Levie's,7,899.0,20,2.5,No
2025-04-11 21:36:09,18,Female,Mizoram,Trousers,Nike,7,507.0,15,2.5,No
2025-04-11 21:36:09,41,Male,Telangana,Shorts,Nike,2,416.0,20,3.5,Yes
2025-04-11 21:36:09,53,Female,Meghalaya,Jeans,Adidas,4,581.0,15,3.5,Yes
2025-04-11 21:36:09,57,Male,Himachal Pradesh,Sweaters,Adidas,5,712.0,30,2.0,No
2025-04-11 21:36:09,68,Male,Karnataka,Sleepwear,Puma,5,569.0,25,3.5,Yes
2025-04-11 21:36:09,37,Female,Haryana,Sleepwear,Puma,4,685.0,10,2.5,Yes
2025-04-11 21:36:09,26,Female,Himachal Pradesh,Sleepwear,Puma,1,519.0,20,1.0,No
2025-04-11 21:36:09,40,Female,Nagaland,Skirts,Nike,5,951.0,15,2.5,No
2025-04-11 21:36:09,54,Male,Rajasthan,Sweaters,H&M,2,769.0,15,2.0,Yes
2025-04-11 21:36:09,64,Male,Tripura,Formal Wear,Levie's,5,922.0,15,1.5,No
2025-04-11 21:36:09,49,Male,Chhattisgarh,Dresses,Nike,6,592.0,10,4.0,No
2025-04-11 21:36:09,64,Female,Odisha,T-shirts,Raymond,2,645.0,10,1.0,No
2025-04-11 21:36:09,24,Male,Mizoram,Suits,Puma,6,850.0,10,3.0,No
2025-04-11 21:36:09,59,Male,Sikkim,Jeans,Pantaloons,6,438.0,15,4.0,Yes
2025-04-11 21:36:09,18,Male,Nagaland,Formal Wear,H&M,6,661.0,15,4.0,Yes
2025-04-11 21:36:09,26,Female,Himachal Pradesh,Sleepwear,Levie's,4,634.0,15,2.5,No
2025-04-11 21:36:09,32,Female,Tamil Nadu,Jeans,H&M,7,536.0,20,2.5,No
2025-04-11 21:36:09,67,Female,Arunachal Pradesh,Suits,Adidas,3,976.0,25,5.0,No
2025-04-11 21:36:09,46,Female,Punjab,Trousers,H&M,4,855.0,15,1.5,Yes
2025-04-11 21:36:09,60,Female,Goa,Jackets,Raymond,1,414.0,20,3.5,No
2025-04-11 21:36:09,67,Female,Goa,Sweaters,Nike,3,878.0,10,4.0,Yes
2025-04-11 21:36:09,56,Female,Karnataka,Dresses,Adidas,4,733.0,30,4.5,No
2025-04-11 21:36:09,60,Male,Sikkim,Formal Wear,Levie's,6,974.0,20,2.0,Yes
2025-04-11 21:36:09,21,Female,Haryana,Shorts,Raymond,1,455.0,15,5.0,Yes
2025-04-11 21:36:09,64,Female,Uttarakhand,Skirts,H&M,5,683.0,30,2.5,Yes
2025-04-11 21:36:09,70,Male,Mizoram,Sweaters,H&M,6,420.0,10,3.5,No
2025-04-11 21:36:09,45,Female,Mizoram,Undergarments,Raymond,7,755.0,20,1.0,Yes
2025-04-11 21:36:09,57,Male,Tamil Nadu,Sweaters,Levie's,7,982.0,20,4.5,Yes
2025-04-11 21:36:09,64,Male,Nagaland,Shirts,Adidas,7,950.0,30,5.0,Yes
2025-04-11 21:36:09,62,Male,Himachal Pradesh,Undergarments,Puma,7,538.0,15,3.5,No
2025-04-11 21:36:09,57,Male,Jharkhand,Trousers,Adidas,4,689.0,30,2.0,Yes
2025-04-11 21:36:09,35,Male,West Bengal,Formal Wear,Nike,1,503.0,10,4.0,Yes
2025-04-11 21:36:09,20,Female,Telangana,Formal Wear,H&M,2,414.0,30,3.5,Yes
2025-04-11 21:36:09,33,Female,Meghalaya,Shirts,Puma,5,802.0,25,4.0,No
2025-04-11 21:36:09,24,Male,West Bengal,Shorts,Nike,1,725.0,25,1.5,Yes
2025-04-11 21:36:09,20,Female,Assam,Sleepwear,Puma,5,414.0,20,5.0,Yes
2025-04-11 21:36:09,29,Male,Odisha,Sleepwear,Raymond,6,852.0,30,4.0,Yes
2025-04-11 21:36:09,63,Female,Punjab,Dresses,Puma,1,449.0,15,1.5,No
2025-04-11 21:36:09,21,Male,Telangana,Trousers,Adidas,2,887.0,30,2.0,Yes
2025-04-11 21:36:09,27,Female,Uttar Pradesh,Jackets,Pantaloons,6,675.0,15,3.0,No
2025-04-11 21:36:09,58,Female,Punjab,Shorts,Pantaloons,4,727.0,20,3.5,Yes
2025-04-11 21:36:09,52,Female,Punjab,Trousers,Adidas,7,412.0,15,1.0,No
2025-04-11 21:36:09,29,Male,Tamil Nadu,Formal Wear,Nike,6,473.0,15,4.0,No
2025-04-11 21:36:09,46,Male,Nagaland,Undergarments,Adidas,1,686.0,30,3.0,Yes
2025-04-11 21:36:09,59,Female,Haryana,Suits,Nike,1,440.0,10,4.0,Yes
2025-04-11 21:36:09,38,Male,Odisha,Ethnic Wear,Raymond,4,988.0,30,3.0,No
2025-04-11 21:36:09,49,Male,Arunachal Pradesh,Formal Wear,Nike,6,400.0,10,3.0,Yes
2025-04-11 21:36:09,51,Female,Haryana,Jackets,Levie's,1,848.0,10,3.5,No
2025-04-11 21:36:09,70,Male,Telangana,Jeans,Levie's,5,905.0,20,2.5,No
2025-04-11 21:36:09,70,Female,Andhra Pradesh,Skirts,Raymond,2,662.0,25,1.5,No
2025-04-11 21:36:09,33,Male,Rajasthan,Sweaters,Nike,4,646.0,25,4.5,No
2025-04-11 21:36:09,61,Female,Maharashtra,Skirts,Raymond,1,415.0,25,5.0,Yes
2025-04-11 21:36:09,66,Female,Nagaland,Sweaters,Zudio,3,631.0,25,1.5,Yes
2025-04-11 21:36:09,39,Male,Uttarakhand,Undergarments,Levie's,2,675.0,15,5.0,Yes
2025-04-11 21:36:09,52,Female,Bihar,Sweaters,Raymond,1,923.0,25,4.0,Yes
2025-04-11 21:36:09,19,Male,Haryana,Sweaters,Puma,3,607.0,10,3.0,No
2025-04-11 21:36:09,54,Male,Rajasthan,Activewear,Pantaloons,2,951.0,20,1.5,Yes
2025-04-11 21:36:09,23,Female,Uttarakhand,Suits,H&M,5,697.0,25,2.0,No
2025-04-11 21:36:09,43,Female,Manipur,Jackets,Pantaloons,1,590.0,30,4.5,No
2025-04-11 21:36:09,68,Male,Rajasthan,Undergarments,H&M,6,473.0,25,2.5,Yes
2025-04-11 21:36:09,51,Female,Punjab,Shorts,Pantaloons,2,490.0,10,3.0,No
2025-04-11 21:36:09,27,Male,Tamil Nadu,Shorts,Puma,3,608.0,15,2.5,Yes
2025-04-11 21:36:09,70,Female,Telangana,Jeans,Pantaloons,3,586.0,10,3.0,Yes
2025-04-11 21:36:09,51,Female,Arunachal Pradesh,Jeans,H&M,2,604.0,20,1.0,No
2025-04-11 21:36:09,26,Female,Kerala,Shorts,Raymond,3,658.0,30,4.5,Yes
2025-04-11 21:36:09,45,Male,Himachal Pradesh,Suits,Raymond,1,735.0,10,4.5,No
2025-04-11 21:36:09,70,Female,Sikkim,Jackets,H&M,6,884.0,30,3.0,Yes
2025-04-11 21:36:09,40,Male,Karnataka,Suits,Adidas,3,496.0,20,5.0,No
2025-04-11 21:36:09,49,Male,Gujarat,Formal Wear,Levie's,2,977.0,20,1.0,No
2025-04-11 21:36:09,44,Male,Uttar Pradesh,Ethnic Wear,Levie's,4,865.0,30,3.5,No
2025-04-11 21:36:09,53,Female,Goa,Ethnic Wear,Zudio,5,847.0,10,3.0,Yes
2025-04-11 21:36:09,65,Female,Punjab,Ethnic Wear,Adidas,1,510.0,10,1.0,No
2025-04-11 21:36:09,55,Female,Manipur,Skirts,Nike,3,555.0,25,1.0,No
2025-04-11 21:36:09,32,Male,Karnataka,Shorts,Adidas,3,611.0,30,3.0,Yes
2025-04-11 21:36:09,18,Male,Tripura,Dresses,Levie's,5,908.0,10,3.5,No
2025-04-11 21:36:09,70,Female,Kerala,T-shirts,Nike,2,686.0,25,1.0,Yes
2025-04-11 21:36:09,21,Male,Madhya Pradesh,Skirts,Pantaloons,4,437.0,15,1.0,No
2025-04-11 21:36:09,67,Female,Uttar Pradesh,Sleepwear,Adidas,6,467.0,30,4.0,Yes
2025-04-11 21:36:09,18,Male,Karnataka,Skirts,Zudio,7,603.0,25,1.0,Yes
2025-04-11 21:36:09,29,Female,Meghalaya,Skirts,Adidas,5,806.0,30,1.5,No
2025-04-11 21:36:09,65,Male,Andhra Pradesh,Activewear,Pantaloons,4,974.0,25,4.0,No
2025-04-11 21:36:09,53,Male,West Bengal,Dresses,Raymond,1,677.0,20,5.0,Yes
2025-04-11 21:36:09,66,Female,Uttar Pradesh,Dresses,Raymond,7,586.0,30,2.5,No
2025-04-11 21:36:09,34,Male,Sikkim,Jackets,Pantaloons,5,650.0,10,2.5,No
2025-04-11 21:36:09,50,Male,Himachal Pradesh,Sweaters,H&M,2,627.0,15,3.0,No
2025-04-11 21:36:09,42,Male,Uttar Pradesh,Sweaters,Zudio,4,832.0,15,2.0,Yes
2025-04-11 21:36:09,20,Male,Bihar,T-shirts,Levie's,2,684.0,20,3.0,Yes
2025-04-11 21:36:09,19,Female,Andhra Pradesh,T-shirts,Adidas,4,470.0,15,4.0,No
2025-04-11 21:36:09,34,Female,Karnataka,Sleepwear,Zudio,6,649.0,25,3.0,Yes
2025-04-11 21:36:09,68,Female,Punjab,T-shirts,Zudio,5,562.0,10,2.5,No
2025-04-11 21:36:09,38,Male,Tamil Nadu,Sleepwear,Pantaloons,1,822.0,25,3.5,No
2025-04-11 21:36:09,31,Female,Chhattisgarh,Sweaters,Puma,4,657.0,25,4.0,Yes
2025-04-11 21:36:09,18,Female,Bihar,Jackets,Raymond,4,484.0,25,4.0,Yes
2025-04-11 21:36:09,70,Female,Meghalaya,Jeans,H&M,7,743.0,30,4.5,Yes
2025-04-11 21:36:09,44,Female,Goa,Trousers,Raymond,1,599.0,25,2.0,Yes
2025-04-11 21:36:09,51,Male,Meghalaya,Activewear,Adidas,7,603.0,10,3.0,Yes
2025-04-11 21:36:09,40,Male,Sikkim,Dresses,Adidas,2,482.0,25,3.0,No
2025-04-11 21:36:09,40,Male,Manipur,Sleepwear,Nike,2,880.0,25,3.5,Yes
2025-04-11 21:36:09,20,Male,Chhattisgarh,Undergarments,H&M,1,953.0,15,4.0,Yes
2025-04-11 21:36:09,58,Male,Uttar Pradesh,Formal Wear,Adidas,2,534.0,20,5.0,Yes
2025-04-11 21:36:09,32,Male,Karnataka,Ethnic Wear,Pantaloons,7,418.0,10,2.0,No
2025-04-11 21:36:09,59,Male,Bihar,Undergarments,Puma,3,879.0,15,2.0,Yes
2025-04-11 21:36:09,63,Female,Kerala,Jeans,Adidas,7,883.0,10,1.0,No
2025-04-11 21:36:09,36,Male,Bihar,Dresses,Zudio,5,816.0,20,1.0,No
2025-04-11 21:36:09,24,Male,Rajasthan,Suits,Pantaloons,7,887.0,10,1.5,Yes
2025-04-11 21:36:09,70,Male,Punjab,Skirts,Puma,7,539.0,15,5.0,Yes
2025-04-11 21:36:09,39,Male,Arunachal Pradesh,Activewear,H&M,4,664.0,20,4.5,Yes
2025-04-11 21:36:09,47,Female,Karnataka,Skirts,Nike,4,478.0,25,4.0,Yes
2025-04-11 21:36:09,53,Male,Uttarakhand,Formal Wear,Pantaloons,5,522.0,30,1.5,No
2025-04-11 21:36:09,34,Male,Andhra Pradesh,Skirts,Pantaloons,1,409.0,15,2.0,Yes
2025-04-11 21:36:09,36,Female,Manipur,Sweaters,Zudio,4,630.0,10,3.0,Yes
2025-04-11 21:36:09,50,Female,Bihar,Suits,Puma,1,879.0,15,3.0,No
2025-04-11 21:36:09,68,Female,Telangana,Sleepwear,Zudio,6,672.0,15,1.0,Yes
2025-04-11 21:36:09,20,Female,Punjab,Jackets,Raymond,6,747.0,10,4.5,No
2025-04-11 21:36:09,42,Female,Uttar Pradesh,Sweaters,Puma,5,633.0,30,2.5,No
2025-04-11 21:36:09,62,Male,Maharashtra,Suits,Adidas,2,904.0,15,2.0,No
2025-04-11 21:36:09,21,Female,Nagaland,Activewear,Pantaloons,2,680.0,15,2.0,No
2025-04-11 21:36:09,56,Male,Punjab,Dresses,Levie's,7,975.0,20,1.0,Yes
2025-04-11 21:36:09,59,Male,Telangana,Jackets,Levie's,6,675.0,10,2.5,Yes
2025-04-11 21:36:09,48,Female,West Bengal,Sleepwear,Pantaloons,7,406.0,20,1.0,No
2025-04-11 21:36:09,34,Female,Madhya Pradesh,Sleepwear,Puma,2,407.0,30,3.5,No
2025-04-11 21:36:09,27,Male,Himachal Pradesh,T-shirts,Levie's,4,707.0,30,2.5,No
2025-04-11 21:36:09,37,Male,Arunachal Pradesh,Shorts,Adidas,4,811.0,20,4.0,No
2025-04-11 21:36:09,36,Male,Meghalaya,Shorts,Pantaloons,6,665.0,20,1.5,Yes
2025-04-11 21:36:09,31,Female,Uttar Pradesh,Skirts,Pantaloons,5,955.0,30,3.0,No
2025-04-11 21:36:09,49,Male,Sikkim,Jackets,Pantaloons,1,906.0,20,1.5,Yes
2025-04-11 21:36:09,66,Female,Nagaland,Jackets,Nike,6,737.0,30,4.5,No
2025-04-11 21:36:09,48,Male,Meghalaya,Shirts,Nike,1,449.0,30,1.0,No
2025-04-11 21:36:09,25,Female,Nagaland,Skirts,H&M,5,885.0,10,5.0,Yes
2025-04-11 21:36:09,27,Male,Telangana,Activewear,Nike,4,986.0,30,4.5,No
2025-04-11 21:36:09,49,Female,Rajasthan,Undergarments,Pantaloons,4,957.0,30,3.0,No
2025-04-11 21:36:09,48,Male,Bihar,Activewear,Puma,7,822.0,25,3.0,Yes
2025-04-11 21:36:09,39,Female,Uttarakhand,T-shirts,Puma,6,821.0,15,3.5,No
2025-04-11 21:36:09,52,Male,Haryana,Sweaters,Puma,5,792.0,20,3.5,Yes
2025-04-11 21:36:09,67,Male,Uttarakhand,Skirts,Nike,7,594.0,15,4.0,No
2025-04-11 21:36:09,66,Male,Goa,Activewear,H&M,1,509.0,10,1.5,Yes
2025-04-11 21:36:09,35,Female,Rajasthan,Formal Wear,Nike,5,995.0,30,2.0,Yes
2025-04-11 21:36:09,59,Female,Assam,Activewear,Nike,4,963.0,30,2.5,Yes
2025-04-11 21:36:09,27,Female,Tripura,Formal Wear,Zudio,5,766.0,15,4.5,Yes
2025-04-11 21:36:09,26,Female,Punjab,Sweaters,Puma,4,795.0,10,1.5,No
2025-04-11 21:36:09,60,Male,Madhya Pradesh,Trousers,Levie's,5,845.0,30,1.0,Yes
2025-04-11 21:36:09,39,Male,Haryana,Activewear,Levie's,7,679.0,10,4.0,Yes
2025-04-11 21:36:09,33,Female,Rajasthan,Sleepwear,Puma,2,621.0,15,2.5,Yes
2025-04-11 21:36:09,67,Female,Andhra Pradesh,Activewear,Raymond,1,506.0,30,2.5,No
2025-04-11 21:36:09,40,Male,Himachal Pradesh,Trousers,Adidas,3,746.0,10,2.5,No
2025-04-11 21:36:09,45,Male,Chhattisgarh,Undergarments,Nike,3,819.0,20,1.0,Yes
2025-04-11 21:36:09,47,Male,Jharkhand,Shirts,Puma,5,752.0,20,3.0,Yes
2025-04-11 21:36:09,51,Male,Assam,Sleepwear,Adidas,6,476.0,20,4.5,No
2025-04-11 21:36:09,54,Female,Himachal Pradesh,Shorts,Levie's,3,607.0,30,5.0,Yes
2025-04-11 21:36:09,53,Female,Sikkim,Jeans,Raymond,6,895.0,15,4.5,No
2025-04-11 21:36:09,53,Female,Odisha,Undergarments,Puma,1,590.0,25,2.0,Yes
2025-04-11 21:36:09,70,Female,Uttarakhand,T-shirts,Nike,4,958.0,30,2.5,No
